ID,reasoning,type,confidence
13,"- System Overview: No. The file is developer instructions and does not provide a high-level description of the product’s purpose or features beyond package roles.
- AI Integration: No. There are no instructions aimed at an AI agent.
- Documentation References: No. No links or references to external docs.
- Architecture: Yes. It outlines the monorepo packages and directory structure with roles and a tree.
- Implementation Details: Yes. Contains coding conventions (zod usage, naming conventions, no barrel files, React/Node best practices), linting guidance.
- Build and Run: Yes. Provides commands for dev servers, builds, CLI usage, and common tasks.
- Testing: Yes. Provides testing philosophy and exact commands for different test suites, with caveats.
- Configuration and Environments: Yes. Details .env setup, required services/credentials, and critical environment variables.
- Deployment and Operations: Yes. Mentions CI/CD (GitHub Actions) behavior and limitations.
- Project Management: No. No backlog/roadmap/planning artifacts; branch/commit rules fall under dev process.
- Development Process: Yes. Detailed branch naming and conventional commit guidelines; pre-commit hooks.
- Performance: No. Timing info is operational, not optimization guidance.
- Security: No. Mentions credentials but no security policies or architecture.
- UI/UX: No. No UX standards or UI guidelines.
- Maintainability: Yes. Naming conventions, linting, pre-commit formatting promote maintainability.
- Debugging: Yes. Troubleshooting section with common issues, network limitations, and workarounds.","['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'maintainability', 'debugging']",9
14,"- System Overview: Yes - Intro describes Prosper202 purpose and key features of the system.
- AI Integration: Yes - ""Agent Interaction Guidelines"" instruct an AI on how to operate in the repo.
- Documentation References: No - No external docs/links or reference list provided.
- Architecture: Yes - Lists high-level directory structure and roles of components.
- Implementation Details: Yes - Coding standards (PSR-12), Composer usage, PHPDoc, namespaces, autoloading guidance.
- Build and Run: No - No app build/run commands; only lint/test/dependency install.
- Testing: Yes - Specifies PHPUnit usage and exact command.
- Configuration and Environments: Yes - Dependency installation via Composer and autoloading setup.
- Deployment and Operations: No - No CI/CD or deployment procedures.
- Project Management: No - No backlog, planning, or prioritization guidance.
- Development Process: Yes - Contribution guidelines, VCS rules (don’t commit vendor), PR title/description format.
- Performance: No - No performance guidelines or optimization notes.
- Security: No - No security practices or permission models.
- UI/UX: No - No user interface/experience guidance.
- Maintainability: Yes - Migration/refactor notes (modernization to OOP), handling legacy code.
- Debugging: No - No debugging tips or error-handling procedures.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'test', 'config_environment', 'development_process', 'maintainability']",9
15,"- system_overview: Yes — Provides a clear repo overview, purpose (AI art generator), key folders/files, and end-to-end workflow.
- ai_integration: No — Describes LLM integration modules but not instructions/roles directed at an AI agent.
- documentation_references: No — Mentions README and examples folder in passing, but no explicit documentation requirements or reference list for agents.
- architecture: Yes — Outlines directory structure and roles of key modules (LLM pipeline, image generation, UI, prompts).
- implementation_details: Yes — Details specific functions/classes (get_llm, OpenRouterLLM, GeminiLLM, generate_* functions) and error handling/JSON validation approaches.
- build_run: Yes — Indicates Dockerfile/entrypoint and instructs to use docker build/run to start the app on port 8501.
- test: No — No testing guidance or commands provided.
- config_environment: Yes — Explains config.py reading env vars, config.yaml template, disabling Streamlit telemetry, and Docker volumes for images/metadata.
- deployment_operations: No — No CI/CD, release, or operational runbooks beyond local/container build/run.
- project_management: No — No backlog, planning, or task management content.
- development_process: No — No Git/PR/commit workflow guidance.
- performance: No — No optimization or performance guidance.
- security: No — Aside from mentioning API keys, no security policies or models.
- ui_ux: Yes — Describes Streamlit UI, sidebar controls, and three user-facing modes plus competition mode.
- maintainability: No — No maintainability principles or refactoring guidance.
- debugging: No — No debugging tips or error investigation steps.","['system_overview', 'architecture', 'implementation_details', 'build_run', 'config_environment', 'ui_ux']",8
16,"The file provides commands for linting/formatting and explicitly instructs running the test suite with `pytest` before submitting changes. That clearly matches 'test' (testing commands) and also indicates a workflow guideline ('before submitting changes'), which falls under 'development_process'. It does not describe system features (system_overview), AI agent roles (ai_integration), external docs (documentation_references), architecture, implementation style details, build/run of the app, environment setup, deployment/ops, project management, performance, security, UI/UX, maintainability principles, or debugging tips.","['test', 'development_process']",8
17,"- system_overview: No — The content is style and workflow guidance, not a high-level description of system purpose or features.
- ai_integration: No — There are no instructions directed at AI agents or integration notes.
- documentation_references: No — No external documentation links or reference lists are provided.
- architecture: Yes — The “Project layout” section specifies folder structure, required files (download.py, __init__.py), and required functions, which is architectural guidance.
- implementation_details: Yes — Extensive coding style rules, naming conventions, decorators, tensor shape notation, logging usage, and concrete code snippets are provided.
- build_run: No — No commands or steps to build and run the application; the “Command Runner” section only shows how to run tooling/tests, not app build/run.
- test: Yes — Provides testing guidance (pytest, Hypothesis, slow markers) and an example pytest command.
- config_environment: No — No environment setup or configuration parameters are described.
- deployment_operations: No — No CI/CD or production operations content.
- project_management: No — No backlog or planning/management process details.
- development_process: No — No Git/PR/commit workflow instructions.
- performance: Yes — Advises on batch sizing, freeing CUDA memory, and using torch.compile, which are performance/efficiency guidelines.
- security: Yes — Recommends verifying checksums before extraction in download scripts, a security best practice.
- ui_ux: No — No UI/UX principles or interface guidance.
- maintainability: No — While code style aids maintainability, there are no explicit maintenance/refactoring or API stability policies.
- debugging: No — No debugging tips or error-handling instructions are given.","['architecture', 'implementation_details', 'test', 'performance', 'security']",7
18,"- system_overview: Yes. The file explains the purpose and scope of the project as a browser extension enhancing voice interactions with AI chatbots and summarizes feature support across browsers.
- ai_integration: Yes. It is explicitly a CLAUDE.md intended to guide Claude Code when working with this repo.
- documentation_references: Yes. It links to additional docs like the Browser Compatibility Matrix and src/vad/README.md.
- architecture: Yes. Contains an Architecture Overview, key components, communication architecture, and build system/output structure.
- implementation_details: No. It lists components and files but does not provide code-level implementation instructions or coding style specifics.
- build_run: Yes. Provides concrete npm commands for dev, build, packaging, and related tasks.
- test: Yes. Dedicated Testing section with frameworks, TDD protocol, writing guidance, and test commands.
- config_environment: Yes. Specifies Node/npm version requirements, env file setup, jq requirement, and env validation.
- deployment_operations: No. No CI/CD or production deployment procedures described.
- project_management: No. No backlog, planning, or organizational process guidance.
- development_process: No. While it mandates a TDD protocol for bug fixes, it lacks Git/PR workflow or review process guidance per the label definition.
- performance: No. Mentions bundle sizes/minification limits but no performance optimization guidelines.
- security: No. References authentication components but no security policies or best practices.
- ui_ux: No. Mentions UI components and progressive enhancement but lacks explicit UI/UX standards or guidelines.
- maintainability: No. No explicit maintainability guidelines beyond general patterns.
- debugging: No. No debugging tips or error-handling guidance provided.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'build_run', 'test', 'config_environment']",9
20,"- system_overview: Yes — Provides a brief description of Windmill and what it’s for.
- ai_integration: No — No instructions or roles aimed at AI agents.
- documentation_references: Yes — References to @windmill-overview.mdc and language-specific docs.
- architecture: No — Does not describe system structure or components.
- implementation_details: Yes — Offers concrete implementation guidelines (clean code, avoid duplication, SRP, follow patterns).
- build_run: No — No build or run commands provided.
- test: No — No testing procedures or commands.
- config_environment: No — No environment or configuration setup details.
- deployment_operations: No — No CI/CD or deployment instructions.
- project_management: No — No planning/backlog or organizational guidance.
- development_process: No — Mentions incremental, reviewable chunks but lacks specific VC/PR workflow guidance.
- performance: No — No performance guidance.
- security: No — No security practices or models.
- ui_ux: No — No UI/UX standards or guidance.
- maintainability: Yes — Emphasizes readability, avoiding duplication, and single responsibility for easier long-term maintenance.
- debugging: No — No debugging tips or error-handling guidance.","['system_overview', 'documentation_references', 'implementation_details', 'maintainability']",8
21,"- system_overview: No – It only points to README for the overview without providing one here.
- ai_integration: Yes – The file gives explicit guidance for Claude Code and includes Claude-specific tips and memory behavior instructions.
- documentation_references: Yes – References README, ADRs directory, and an external documentation URL.
- architecture: Yes – Uses ADRs and lists key architectural decisions (transports, CI/CD, resilience, etc.).
- implementation_details: Yes – Contains TypeScript best practices, code complexity rules, regex guidance, and example snippets.
- build_run: No – No commands or steps to build or run the app; only ADR creation and precommit checks are shown.
- test: No – Mentions framework and coverage thresholds but lacks procedures or commands for running/writing tests.
- config_environment: Yes – Includes config/version alignment for pnpm across files/workflows and an EDITOR env var note; mentions setup script.
- deployment_operations: Yes – Details CI/CD workflows, release automation, Docker publishing, scans, SBOM/SLSA.
- project_management: No – No backlog/planning/organizational process guidance.
- development_process: Yes – Advises on pre-commit hooks, running validation before committing, and avoiding --no-verify.
- performance: No – No performance optimization guidance.
- security: Yes – Security ADR lists tools and supply-chain attestations.
- ui_ux: No – No UI/UX standards or guidance.
- maintainability: Yes – Emphasizes code quality conventions, simplifying code, and reducing complexity for maintainability.
- debugging: No – No debugging tips or diagnostics guidance.","['ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'config_environment', 'deployment_operations', 'development_process', 'security', 'maintainability']",8
22,"- system_overview: Yes. Contains a clear Project Overview with purpose and key modules.
- ai_integration: Yes. This is a CLAUDE.md directing Claude Code’s behavior for this repo.
- documentation_references: Yes. Points to many internal reference files/paths (e.g., testkit-reference.conf, docker-compose.yml, Versioning.scala, CompatReportPlugin.scala) to consult.
- architecture: Yes. Provides Architecture Overview, core layers, key components, compiler pipeline, module structure, and profile system.
- implementation_details: Yes. Includes concrete development guidelines, Scala 3 specifics, aggregate function handling across DBs, codegen specifics, and file-level pointers.
- build_run: Yes. Lists exact sbt build/compile/doc commands and development tasks.
- test: Yes. Extensive testing commands, categories, frameworks, patterns, and cross-database setup.
- config_environment: Yes. Describes Typesafe Config files, environment variable SLICK_TESTKIT_CONFIG, -D flags, and docker-compose for local DBs.
- deployment_operations: Yes. Mentions GitHub Actions configs and CI usage; compatibility reports posted to PRs via CI.
- project_management: No. No backlog/roadmap or organizational planning guidance.
- development_process: No. Lacks commit/PR workflow or branching/version control process beyond a brief note about lint/typecheck.
- performance: Yes. Has performance considerations, streaming, pooling, caching, and performance tests/issues.
- security: No. No security architecture or practices discussed.
- ui_ux: No. No UI/UX guidance (library, not UI-focused).
- maintainability: Yes. Strong focus on binary/source compatibility (MiMa, version policy), key files, and practices that keep APIs stable.
- debugging: Yes. Guidance for debug output/SQL logging and compiler/AST dump for troubleshooting.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'performance', 'maintainability', 'debugging']",9
25,"- System Overview: Yes. Contains a concise project description (“MCP server… 28-tool architecture”) explaining purpose and features.
- AI Integration: Yes. File explicitly guides Claude Code, includes MCP transport notes and manual testing with Claude.
- Documentation References: Yes. Repeatedly references the canonical /docs/firewalla-api-reference.md as the single source of truth.
- Architecture: Yes. Provides “Architecture Overview,” tool categories, key files, data flow, and registry pattern.
- Implementation Details: Yes. Specifies TOOL_SCHEMAS, handler-based architecture, validation, error handling, TypeScript interfaces, and groupBy usage.
- Build and Run: Yes. Includes npm install/build/dev/start/mcp commands and how to start transports.
- Testing: Yes. Dedicated sections for testing commands and procedures (unit/integration/regression/manual).
- Configuration and Environments: Yes. Environment variables for API credentials, feature flags, transport, cache TTL, Node version.
- Deployment and Operations: Yes. CI/CD commands (ci:quick, ci:full) and hooks setup.
- Project Management: No. No backlog, planning, or organizational workflow content.
- Development Process: No. Lacks Git/PR/commit conventions; guidelines are technical rather than process/PR rules.
- Performance: Yes. Has caching, rate limiting, monitoring, and performance debug categories.
- Security: No. Mentions credentials and authentication errors but no security model, threat model, or permission policy guidance.
- UI/UX: No. No UI or user experience guidelines.
- Maintainability: Yes. Critical development guidelines and tool architecture requirements to ensure consistent, safe changes.
- Debugging: Yes. Debugging section with DEBUG namespaces and commands, plus common issues/solutions.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'performance', 'maintainability', 'debugging']",9
26,"- System Overview: Yes — The “Project Overview” explains what the system is (an MCP server for Meilisearch) and its capabilities.
- AI Integration: Yes — File targets Claude Code explicitly and includes Claude Desktop config and a GitHub Actions flow triggered by “@claude”.
- Documentation References: No — Does not list external docs or reference links; focuses on internal guidance.
- Architecture: Yes — “Modular Manager Design,” MCP Server Integration, tool handler pattern, search architecture, and connection management describe high-level structure and components.
- Implementation Details: Yes — Specifies concrete classes (e.g., MeilisearchMCPServer in server.py), tool handler pattern steps, logging infrastructure, and hybrid search parameters.
- Build and Run: Yes — Provides commands to run the MCP server and the MCP Inspector (python -m src.meilisearch_mcp, npx @modelcontextprotocol/inspector ...).
- Testing: Yes — Detailed pytest commands, coverage, categories, structure, and a test simulation framework.
- Configuration and Environments: Yes — venv setup with uv, required environment variables (MEILI_HTTP_ADDR, MEILI_MASTER_KEY), and service prerequisites.
- Deployment and Operations: Yes — Describes GitHub Actions workflow (.github/workflows/claude.yml), triggers, and permissions.
- Project Management: No — No backlog/planning or task management processes; mainly dev workflow/PR etiquette.
- Development Process: Yes — Branching from main, focused changes, TDD flow, commit standards, and a PR checklist.
- Performance: No — Mentions performance metrics as a feature but lacks optimization or performance guidance.
- Security: No — References API keys but no security model/practices or guidance.
- UI/UX: No — No user interface or experience guidelines.
- Maintainability: No — While focus rules help maintain quality, there are no explicit maintainability principles or policies beyond dev workflow.
- Debugging: No — No debugging tips or commands beyond general error logging mention.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process']",9
27,"- ai_integration: Yes. The section “General behavior of claude code” explicitly instructs an AI agent (Claude) how to behave.
- test: Yes. Provides concrete pytest commands (all tests, single test, markers), guidance on writing tests, and a pytest alias shortcut.
- build_run: Yes. The “Compile SPy Code” section lists commands to run/compile SPy programs (execution, generate C, compile, optimization flags).
- implementation_details: Yes. Contains code style and naming conventions, typing requirements, import organization, and test decorators/base class usage.
- development_process: Yes. “GH PR Guidelines” dictates what to include/exclude in pull request descriptions.
- config_environment: No. Mentions using a venv path but does not provide environment setup or configuration steps.
- documentation_references: No. No links or references to external/internal docs.
- architecture: No. No high-level system structure or component descriptions.
- system_overview: No. No overview of the system’s purpose/features.
- deployment_operations: No. No CI/CD or release/ops procedures.
- project_management: No. No backlog, planning, or organization content.
- performance: No. No optimization/perf guidance.
- security: No. No security considerations or permissions.
- ui_ux: No. No UI/UX guidelines.
- maintainability: No. While style aids maintainability, there’s no explicit maintenance policy or guidelines beyond coding style.
- debugging: No. No debugging tips or error-handling guidance.","['ai_integration', 'implementation_details', 'build_run', 'test', 'development_process']",9
28,"This quick guide provides concrete run/test commands (uv run pytest, running steps), coding practices (naming conventions, using builder.filesystem, Path.resolve), and environment setup details (HAGENT_DOCKER image, path env vars, provider API keys) plus a reference to further docs (README). It does not describe the overall system, architecture, CI/CD, security, or UI/UX, nor does it include AI agent role instructions or debugging tips beyond basic usage.","['build_run', 'test', 'config_environment', 'implementation_details', 'documentation_references']",8
29,"- system_overview: Yes. The 'Overview' section describes the repository purpose, scope, and main focus (TS and Python SDKs in a monorepo).
- ai_integration: Yes. The file explicitly provides guidance to Claude Code (an AI agent) and includes agent-facing notes (e.g., refer to fern/CLAUDE.md).
- documentation_references: Yes. It references documentation locations (ts/docs, fern/) and points to fern/CLAUDE.md for documentation tasks.
- architecture: Yes. It details repository structure, core packages, provider packages, and key concepts.
- implementation_details: Yes. Includes concrete code snippets (tool execution, provider integration, custom tool creation) and key file paths.
- build_run: Yes. Provides pnpm build/dev/lint/format/test commands and Python make/nox build steps.
- test: Yes. Contains dedicated testing sections and commands for both TS (Vitest) and Python (pytest markers).
- config_environment: Yes. Lists environment variables and Python environment setup steps.
- deployment_operations: Yes. Includes release management commands (changesets: version/release/publish).
- project_management: No. No backlog, planning, or organizational process content.
- development_process: No. Lacks Git/PR/commit workflow guidelines; focuses more on code quality tooling.
- performance: No. No performance tuning or optimization guidance.
- security: No. No security policies, permissions, or threat considerations.
- ui_ux: No. No UI/UX guidance.
- maintainability: No. While code quality tools are mentioned, there are no explicit maintainability principles or guidelines beyond tooling.
- debugging: No. No debugging tips or error-handling guidance.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations']",9
30,"Per-label assessment:
- system_overview: Yes – Contains a clear Repository Overview describing the monorepo purpose and top-level directories.
- ai_integration: Yes – The file is guidance specifically for Claude Code and references integrations with AI tools (Cursor, Windsurf, Cline).
- documentation_references: No – Does not provide external links or a list of supplementary documents; only general notes to update docs.
- architecture: Yes – Includes Architecture Overview, package roles, build system architecture, and key config files.
- implementation_details: Yes – Provides concrete code patterns (components/workflows/JSX), TypeScript standards, import organization, and error handling specifics.
- build_run: Yes – Lists explicit commands for development, building, cleaning, and Chrome extension build/package flows.
- test: Yes – Testing framework (Vitest), directory conventions, patterns, and commands to run tests and coverage.
- config_environment: Yes – Editor/VSCode configuration, TypeScript JSX settings, Cursor rules placement, and mention of env vars for API keys.
- deployment_operations: No – No CI/CD or deployment/release operational procedures described.
- project_management: No – No backlog, planning, or management process content.
- development_process: Yes – Workflow reminders (run lint:fix, test before committing, build/test before PRs, update docs) reflect dev workflow standards.
- performance: No – No performance guidance or optimization tips.
- security: No – No security practices or permission models.
- ui_ux: No – No UI/UX standards or design guidance.
- maintainability: No – While style aids quality, there are no explicit maintainability-focused principles or policies.
- debugging: No – No debugging tips or error investigation procedures.
","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process']",9
31,"The file is a minimal stub titled 'PostHog Development Guide' that only redirects readers to another document (AGENTS.md). This constitutes a documentation reference. It contains no system overview, architecture, implementation details, build/run commands, testing procedures, environment configuration, deployment/operations info, development process guidelines, project management content, performance tips, security guidance, UI/UX standards, maintainability guidance, debugging tips, or explicit AI agent instructions (it only references them indirectly).",['documentation_references'],8
